mae,rmse,spearman_rho,kendall_tau,rank_accuracy,n_rows,n_cases,outer_fold,held_case,best_val_loss,n_train_rows_after_augmentation
0.0290748923772927,0.03628434942423574,-0.5,-0.33333333333333337,0.0,3,1,1,R01,0.04108360409736633,42
0.039401923318628795,0.04267964427899687,-1.0,-1.0,0.0,3,1,2,R02,0.03791473060846329,42
0.042239082213584155,0.04597250715571805,1.0,1.0,1.0,3,1,3,R03,0.04208284988999367,42
0.05446101468262543,0.05521347629303774,0.5,0.33333333333333337,1.0,3,1,4,R04,0.042390141636133194,42
0.05444399406852318,0.06391618652684146,-0.5,-0.33333333333333337,0.0,3,1,5,R05,0.041563864797353745,42
0.05196563017002239,0.0546430818620433,0.5,0.33333333333333337,1.0,3,1,6,R06,0.04045462980866432,42
0.03756627337617472,0.04251213668242139,0.5,0.33333333333333337,1.0,3,1,7,R07,0.03831319138407707,42
0.03655729363371881,0.04315700600234901,0.5,0.33333333333333337,1.0,3,1,8,R08,0.039861153811216354,42
0.03577999535593557,0.04056976673854179,1.0,1.0,1.0,3,1,9,R09,0.04057035595178604,42
0.04392405399561831,0.050747711939604395,-1.0,-1.0,0.0,3,1,10,R10,0.03887917101383209,42
0.038953712458920285,0.04790749833965364,0.5,0.33333333333333337,1.0,3,1,11,R11,0.04025055840611458,42
0.04408857347878851,0.051176767199496064,0.5,0.33333333333333337,1.0,3,1,12,R12,0.04104068875312805,42
0.06448467009998109,0.06910358236811734,0.5,0.33333333333333337,1.0,3,1,13,R13,0.03703043982386589,42
0.04128995516882983,0.05362818166545025,-0.5,-0.33333333333333337,0.0,3,1,14,R14,0.044112831354141235,42
0.03995947400421751,0.04331209993726734,0.5,0.33333333333333337,1.0,3,1,15,R15,0.04316071420907974,42
0.05172300931222625,0.05550146981506225,0.5,0.33333333333333337,1.0,3,1,16,R16,0.042789723724126816,42
0.031021044202198755,0.04173171859774682,1.0,1.0,1.0,3,1,17,R17,0.040554843842983246,42
0.03526836339488141,0.04991278469712443,0.5,0.33333333333333337,1.0,3,1,18,R18,0.04210839793086052,42
0.04222953011978536,0.054188182877250544,0.5,0.33333333333333337,1.0,3,1,19,R19,0.04420066997408867,42
